USPS	GEOID	ANSICODE	NAME	LSAD	FUNCSTAT	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG                                                                                                 
VA	5100110	02807445	Abbs Valley CDP	57	S	5881450	14187	2.271	0.005	37.235392	-81.460147                                                                                                                 
VA	5100148	02390694	Abingdon town	43	A	20835410	21401	8.045	0.008	36.706665	-81.971627                                                                                                                  
VA	5100180	02390696	Accomac town	43	A	1057355	2124	0.408	0.001	37.719561	-75.667784                                                                                                                     
VA	5100468	02389120	Adwolf CDP	57	S	23887342	40920	9.223	0.016	36.798026	-81.593646                                                                                                                     
VA	5100484	02807430	Afton CDP	57	S	5831360	22227	2.252	0.009	38.022164	-78.833445                                                                                                                       
VA	5100724	02390698	Alberta town	43	A	5526590	34178	2.134	0.013	36.854006	-77.893986                                                                                                                    
VA	5100772	02807428	Aldie CDP	57	S	627074	12641	0.242	0.005	38.97612	-77.647985                                                                                                                         
VA	5101000	01498415	Alexandria city	25	A	38682337	1069028	14.935	0.413	38.819251	-77.08367                                                                                                              
VA	5101240	02628829	Allison Gap CDP	57	S	6805822	0	2.628	0.	36.899778	-81.786853                                                                                                                        
VA	5101256	02584796	Allisonia CDP	57	S	8537477	292206	3.296	0.113	36.936866	-80.718793                                                                                                                  
VA	5101528	02390701	Altavista town	43	A	13284055	293794	5.129	0.113	37.123438	-79.283378                                                                                                                
VA	5101640	02629016	Amelia Court House CDP	57	S	9755216	19981	3.767	0.008	37.335858	-77.986639                                                                                                          
VA	5101672	02390702	Amherst town	43	A	12696727	53189	4.902	0.021	37.581894	-79.051995                                                                                                                   
VA	5101752	02807446	Amonate CDP	57	S	812088	0	0.314	0.	37.190597	-81.640566                                                                                                                             
VA	5101912	02389138	Annandale CDP	57	S	20326897	30220	7.848	0.012	38.832801	-77.196229                                                                                                                  
VA	5102040	02390706	Appalachia town	43	A	5916698	57740	2.284	0.022	36.912716	-82.795003                                                                                                                 
VA	5102064	02629747	Apple Mountain Lake CDP	57	S	4443573	24675	1.716	0.01	38.926685	-78.105138                                                                                                          
VA	5102072	02390707	Appomattox town	43	A	5752229	8391	2.221	0.003	37.358738	-78.826446                                                                                                                  
VA	5102112	02389142	Aquia Harbour CDP	57	S	7366496	695432	2.844	0.269	38.459234	-77.380104                                                                                                              
VA	5102248	02584797	Arcola CDP	57	S	5918431	57735	2.285	0.022	38.944426	-77.534083                                                                                                                      
VA	5103000	02389148	Arlington CDP	57	S	67332990	273562	25.997	0.106	38.878337	-77.100703                                                                                                                
VA	5103208	02584798	Arrington CDP	57	S	26972572	168237	10.414	0.065	37.678696	-78.894759                                                                                                                
VA	5103320	02584799	Ashburn CDP	57	S	39614877	658435	15.295	0.254	39.027296	-77.471322                                                                                                                  
VA	5103368	02390708	Ashland town	43	A	18642716	78331	7.198	0.03	37.760417	-77.472414                                                                                                                    
VA	5103512	02389156	Atkins CDP	57	S	16053238	5984	6.198	0.002	36.866981	-81.398577                                                                                                                      
VA	5103528	02584800	Atlantic CDP	57	S	15278535	600554	5.899	0.232	37.903366	-75.506367                                                                                                                  
VA	5103608	02584801	Augusta Springs CDP	57	S	9710759	1587	3.749	0.001	38.102962	-79.336345                                                                                                              
VA	5103656	02807478	Austinville CDP	57	S	293775	0	0.113	0.	36.851018	-80.914507                                                                                                                         
VA	5104088	02389166	Bailey's Crossroads CDP	57	S	5312933	732	2.051	0.	38.848262	-77.131959                                                                                                              
VA	5104392	02807433	Barboursville CDP	57	S	5800959	14909	2.24	0.006	38.169924	-78.283603                                                                                                                
VA	5104856	02584802	Baskerville CDP	57	S	5554194	0	2.144	0.	36.684407	-78.273196                                                                                                                        
